State,Dirict,Name,Party,Office Room,Phone,Committee Assignment
New Jersey,5,"Gottheimer, Josh(link is external)",D,106 CHOB,(202) 225-4465,Financial Services|Intelligence
New Jersey,6,"Pallone, Frank(link is external)",D,2107 RHOB,(202) 225-4671,Energy and Commerce
New Jersey,7,"Kean, Thomas(link is external)",R,251 CHOB,(202) 225-5361,Foreign Affairs|Energy and Commerce
New Jersey,8,"Menendez, Robert(link is external)",D,2453 RHOB,(202) 225-7919,Energy and Commerce
New Jersey,9,"Pou, Nellie(link is external)",D,1007 LHOB,(202) 225-5751,Homeland Security|Transportation and Infrastructure
New Jersey,10,"McIver, LaMonica(link is external)",D,426 CHOB,(202) 225-3436,Homeland Security|Small Business
New Jersey,11,"Sherrill, Mikie(link is external)",D,1427 LHOB,(202) 225-5034,Armed Services|Select Comm on the Strategic Competition US and China
New Jersey,12,"Watson Coleman, Bonnie(link is external)",D,168 CHOB,(202) 225-5801,Appropriations|Budget
New Mexico,1,"Stansbury, Melanie(link is external)",D,1421 LHOB,(202) 225-6316,Oversight and Government Reform|Natural Resources
New Mexico,2,"Vasquez, Gabe(link is external)",D,322 CHOB,(202) 225-2365,Agriculture|Armed Services
New Mexico,3,"Leger Fernandez, Teresa(link is external)",D,2417 RHOB,(202) 225-6190,Natural Resources|Rules
New York,1,"LaLota, Nick(link is external)",R,122 CHOB,(202) 225-3826,Appropriations|Small Business
New York,2,"Garbarino, Andrew(link is external)",R,2344 RHOB,(202) 225-7896,Financial Services|Homeland Security|Ethics
New York,3,"Suozzi, Thomas R.(link is external)",D,203 CHOB,(202) 225-3335,Ways and Means
New York,4,"Gillen, Laura(link is external)",D,428 CHOB,(202) 225-5516,"Transportation and Infrastructure|Science, Space, and Technology"
New York,5,"Meeks, Gregory(link is external)",D,2310 RHOB,(202) 225-3461,Financial Services|Foreign Affairs
New York,6,"Meng, Grace(link is external)",D,2468 RHOB,(202) 225-2601,Appropriations
New York,7,"Velazquez, Nydia(link is external)",D,2302 RHOB,(202) 225-2361,Financial Services|Natural Resources|Small Business
New York,8,"Jeffries, Hakeem(link is external)",D,2267 RHOB,(202) 225-5936,
New York,9,"Clarke, Yvette(link is external)",D,2058 RHOB,(202) 225-6231,Energy and Commerce
New York,10,"Goldman, Daniel(link is external)",D,245 CHOB,(202) 225-7944,Homeland Security|Judiciary
New York,11,"Malliotakis, Nicole(link is external)",R,1124 LHOB,(202) 225-3371,Ways and Means
New York,12,"Nadler, Jerrold(link is external)",D,2132 RHOB,(202) 225-5635,Judiciary|Transportation and Infrastructure
New York,13,"Espaillat, Adriano(link is external)",D,2332 RHOB,(202) 225-4365,Appropriations
New York,14,"Ocasio-Cortez, Alexandria(link is external)",D,250 CHOB,(202) 225-3965,Energy and Commerce
New York,15,"Torres, Ritchie(link is external)",D,1414 LHOB,(202) 225-4361,Financial Services|Select Comm on the Strategic Competition US and China
New York,16,"Latimer, George(link is external)",D,1507 LHOB,(202) 225-2464,Foreign Affairs|Small Business
New York,17,"Lawler, Michael(link is external)",R,324 CHOB,(202) 225-6506,Financial Services|Foreign Affairs
New York,18,"Ryan, Patrick(link is external)",D,1708 LHOB,(202) 225-5614,Armed Services|Transportation and Infrastructure
New York,19,"Riley, Josh(link is external)",D,128 CHOB,(202) 225-5441,"Agriculture|Science, Space, and Technology"
New York,20,"Tonko, Paul(link is external)",D,2269 RHOB,(202) 225-5076,Budget|Energy and Commerce
New York,21,"Stefanik, Elise(link is external)",R,2211 RHOB,(202) 225-4611,Armed Services|Education and Workforce
New York,22,"Mannion, John(link is external)",D,1516 LHOB,(202) 225-3701,Agriculture|Education and Workforce
New York,23,"Langworthy, Nicholas(link is external)",R,422 CHOB,(202) 225-3161,Oversight and Government Reform|Energy and Commerce|Rules
New York,24,"Tenney, Claudia(link is external)",R,2230 RHOB,(202) 225-3665,"Intelligence|Science, Space, and Technology|Ways and Means"
New York,25,"Morelle, Joseph(link is external)",D,570 CHOB,(202) 225-3615,Appropriations|House Administration|Joint Committee of Congress on the Library
New York,26,"Kennedy, Timothy(link is external)",D,423 CHOB,(202) 225-3306,Homeland Security|Veterans' Affairs
North Carolina,1,"Davis, Donald(link is external)",D,1123 LHOB,(202) 225-3101,Agriculture|Armed Services
North Carolina,2,"Ross, Deborah(link is external)",D,1221 LHOB,(202) 225-3032,"Judiciary|Ethics|Science, Space, and Technology"
North Carolina,3,"Murphy, Gregory(link is external)",R,407 CHOB,(202) 225-3415,House Administration|Veterans' Affairs|Ways and Means
North Carolina,4,"Foushee, Valerie(link is external)",D,2452 RHOB,(202) 225-1784,"Transportation and Infrastructure|Science, Space, and Technology"
North Carolina,5,"Foxx, Virginia(link is external)",R,2462 RHOB,(202) 225-2071,Education and Workforce|Oversight and Government Reform|Rules
North Carolina,6,"McDowell, Addison(link is external)",R,1032 LHOB,(202) 225-3065,Budget|Natural Resources|Transportation and Infrastructure
North Carolina,7,"Rouzer, David(link is external)",R,2333 RHOB,(202) 225-2731,"Agriculture|Transportation and Infrastructure|Science, Space, and Technology"
North Carolina,8,"Harris, Mark(link is external)",R,126 CHOB,(202) 225-1976,Agriculture|Education and Workforce|Judiciary
North Carolina,9,"Hudson, Richard(link is external)",R,2112 RHOB,(202) 225-3715,Energy and Commerce
North Carolina,10,"Harrigan, Pat(link is external)",R,1233 LHOB,(202) 225-2576,"Armed Services|Science, Space, and Technology"
North Carolina,11,"Edwards, Chuck(link is external)",R,1505 LHOB,(202) 225-6401,Appropriations|Budget
North Carolina,12,"Adams, Alma(link is external)",D,2436 RHOB,(202) 225-1510,Agriculture|Education and Workforce
North Carolina,13,"Knott, Brad(link is external)",R,1239 LHOB,(202) 225-4531,Homeland Security|Judiciary|Transportation and Infrastructure
North Carolina,14,"Moore, Tim(link is external)",R,1424 LHOB,(202) 225-5634,Financial Services|Budget
North Dakota,1,"Fedorchak, Julie(link is external)",R,1607 LHOB,(202) 225-2611,Energy and Commerce
Ohio,1,"Landsman, Greg(link is external)",D,2244 RHOB,(202) 225-2216,Energy and Commerce
Ohio,2,"Taylor, David(link is external)",R,325 CHOB,(202) 225-3164,Agriculture|Transportation and Infrastructure
Ohio,3,"Beatty, Joyce(link is external)",D,2079 RHOB,(202) 225-4324,Financial Services
Ohio,4,"Jordan, Jim(link is external)",R,2056 RHOB,(202) 225-2676,Oversight and Government Reform|Judiciary
Ohio,5,"Latta, Robert(link is external)",R,2470 RHOB,(202) 225-6405,Energy and Commerce
Ohio,6,"Rulli, Michael A.(link is external)",R,421 CHOB,(202) 225-5705,Education and Workforce|Energy and Commerce
Ohio,7,"Miller, Max(link is external)",R,143 CHOB,(202) 225-3876,"Science, Space, and Technology|Ways and Means"
Ohio,8,"Davidson, Warren(link is external)",R,2113 RHOB,(202) 225-6205,Financial Services|Foreign Affairs
Ohio,9,"Kaptur, Marcy(link is external)",D,2314 RHOB,(202) 225-4146,Appropriations|Budget
Ohio,10,"Turner, Michael(link is external)",R,2183 RHOB,(202) 225-6465,Armed Services|Oversight and Government Reform
Ohio,11,"Brown, Shontel(link is external)",D,2455 RHOB,(202) 225-7032,Agriculture|Oversight and Government Reform|Select Comm on the Strategic Competition US and China
Ohio,12,"Balderson, Troy(link is external)",R,2429 RHOB,(202) 225-5355,Energy and Commerce
Ohio,13,"Sykes, Emilia(link is external)",D,1217 LHOB,(202) 225-6265,"Transportation and Infrastructure|Science, Space, and Technology"
Ohio,14,"Joyce, David(link is external)",R,2065 RHOB,(202) 225-5731,Appropriations
Ohio,15,"Carey, Mike(link is external)",R,1433 LHOB,(202) 225-2015,Budget|House Administration|Joint Committee of Congress on the Library|Ways and Means
Oklahoma,1,"Hern, Kevin(link is external)",R,171 CHOB,(202) 225-2211,Ways and Means
Oklahoma,2,"Brecheen, Josh(link is external)",R,351 CHOB,(202) 225-2701,Budget|Homeland Security
Oklahoma,3,"Lucas, Frank(link is external)",R,2405 RHOB,(202) 225-5565,Agriculture|Financial Services
Oklahoma,4,"Cole, Tom(link is external)",R,2207 RHOB,(202) 225-6165,Appropriations
Oklahoma,5,"Bice, Stephanie(link is external)",R,2402 RHOB,(202) 225-2132,Appropriations|House Administration
Oregon,1,"Bonamici, Suzanne(link is external)",D,2231 RHOB,(202) 225-0855,"Education and Workforce|Science, Space, and Technology"
Oregon,2,"Bentz, Cliff(link is external)",R,409 CHOB,(202) 225-6730,Energy and Commerce|Natural Resources
Oregon,3,"Dexter, Maxine(link is external)",D,1207 LHOB,(202) 225-4811,Natural Resources|Veterans' Affairs
Oregon,4,"Hoyle, Val(link is external)",D,1620 LHOB,(202) 225-6416,Natural Resources|Transportation and Infrastructure
Oregon,5,"Bynum, Janelle(link is external)",D,1508 LHOB,(202) 225-5711,Financial Services
Oregon,6,"Salinas, Andrea(link is external)",D,403 CHOB,(202) 225-5643,"Agriculture|Science, Space, and Technology"
Pennsylvania,1,"Fitzpatrick, Brian(link is external)",R,271 CHOB,(202) 225-4276,Intelligence|Ways and Means
Pennsylvania,2,"Boyle, Brendan(link is external)",D,1502 LHOB,(202) 225-6111,Budget|Ways and Means
Pennsylvania,3,"Evans, Dwight(link is external)",D,1105 LHOB,(202) 225-4001,Ways and Means
Pennsylvania,4,"Dean, Madeleine(link is external)",D,150 CHOB,(202) 225-4731,Appropriations|Foreign Affairs
Pennsylvania,5,"Scanlon, Mary Gay(link is external)",D,1214 LHOB,(202) 225-2011,Judiciary|Rules
Pennsylvania,6,"Houlahan, Chrissy(link is external)",D,1727 LHOB,(202) 225-4315,Armed Services|Intelligence
Pennsylvania,7,"Mackenzie, Ryan(link is external)",R,121 CHOB,(202) 225-6411,Education and Workforce|Foreign Affairs|Homeland Security
Pennsylvania,8,"Bresnahan, Robert(link is external)",R,1133 LHOB,(202) 225-5546,Agriculture|Transportation and Infrastructure|Small Business
Pennsylvania,9,"Meuser, Daniel(link is external)",R,350 CHOB,(202) 225-6511,Financial Services|Small Business
Pennsylvania,10,"Perry, Scott(link is external)",R,2160 RHOB,(202) 225-5836,Foreign Affairs|Oversight and Government Reform|Intelligence|Transportation and Infrastructure
Pennsylvania,11,"Smucker, Lloyd(link is external)",R,302 CHOB,(202) 225-2411,Budget|Ways and Means
Pennsylvania,12,"Lee, Summer(link is external)",D,2437 RHOB,(202) 225-2135,Education and Workforce|Oversight and Government Reform
Pennsylvania,13,"Joyce, John(link is external)",R,2102 RHOB,(202) 225-2431,Energy and Commerce
Pennsylvania,14,"Reschenthaler, Guy(link is external)",R,2209 RHOB,(202) 225-2065,Appropriations
Pennsylvania,15,"Thompson, Glenn(link is external)",R,400 CHOB,(202) 225-5121,Agriculture|Education and Workforce
Pennsylvania,16,"Kelly, Mike(link is external)",R,1707 LHOB,(202) 225-5406,Ways and Means
Pennsylvania,17,"Deluzio, Christopher(link is external)",D,1222 LHOB,(202) 225-2301,Armed Services|Transportation and Infrastructure
Rhode Island,1,"Amo, Gabe(link is external)",D,1119 LHOB,(202) 225-4911,"Budget|Foreign Affairs|Science, Space, and Technology"
Rhode Island,2,"Magaziner, Seth(link is external)",D,252 CHOB,(202) 225-2735,Homeland Security|Natural Resources
South Carolina,1,"Mace, Nancy(link is external)",R,1728 LHOB,(202) 225-3176,Armed Services|Oversight and Government Reform|Veterans' Affairs
South Carolina,2,"Wilson, Joe(link is external)",R,1436 LHOB,(202) 225-2452,Armed Services|Education and Workforce|Foreign Affairs
South Carolina,3,"Biggs, Sheri(link is external)",R,1530 LHOB,(202) 225-5301,"Foreign Affairs|Homeland Security|Science, Space, and Technology"
South Carolina,4,"Timmons, William(link is external)",R,267 CHOB,(202) 225-6030,Financial Services|Oversight and Government Reform
South Carolina,5,"Norman, Ralph(link is external)",R,569 CHOB,(202) 225-5501,Financial Services|Budget|Rules
South Carolina,6,"Clyburn, James(link is external)",D,274 CHOB,(202) 225-3315,Appropriations
South Carolina,7,"Fry, Russell(link is external)",R,345 CHOB,(202) 225-9895,Energy and Commerce|Judiciary
South Dakota,1,"Johnson, Dusty(link is external)",R,1714 LHOB,(202) 225-2801,Agriculture|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
Tennessee,1,"Harshbarger, Diana(link is external)",R,167 CHOB,(202) 225-6356,Energy and Commerce
Tennessee,2,"Burchett, Tim(link is external)",R,1122 LHOB,(202) 225-5435,Foreign Affairs|Oversight and Government Reform|Transportation and Infrastructure
Tennessee,3,"Fleischmann, Charles(link is external)",R,2187 RHOB,(202) 225-3271,"Appropriations|Science, Space, and Technology"
Tennessee,4,"DesJarlais, Scott(link is external)",R,2304 RHOB,(202) 225-6831,Agriculture|Armed Services
Tennessee,5,"Ogles, Andrew(link is external)",R,151 CHOB,(202) 225-4311,Financial Services|Homeland Security
Tennessee,6,"Rose, John(link is external)",R,2238 RHOB,(202) 225-4231,Agriculture|Financial Services
Tennessee,7,"Green, Mark E.(link is external)- Vacancy",R,2446 RHOB,(202) 225-2811,
Tennessee,8,"Kustoff, David(link is external)",R,560 CHOB,(202) 225-4714,Ways and Means
Tennessee,9,"Cohen, Steve(link is external)",D,2268 RHOB,(202) 225-3265,Intelligence|Judiciary
Texas,1,"Moran, Nathaniel(link is external)",R,1605 LHOB,(202) 225-3035,Ethics|Ways and Means|Select Comm on the Strategic Competition US and China
Texas,2,"Crenshaw, Dan(link is external)",R,248 CHOB,(202) 225-6565,Energy and Commerce|Intelligence
Texas,3,"Self, Keith(link is external)",R,1030 LHOB,(202) 225-4201,"Foreign Affairs|Science, Space, and Technology|Veterans' Affairs"
Texas,4,"Fallon, Pat(link is external)",R,2416 RHOB,(202) 225-6673,Armed Services|Oversight and Government Reform|Intelligence
Texas,5,"Gooden, Lance(link is external)",R,2431 RHOB,(202) 225-3484,Armed Services|Judiciary
Texas,6,"Ellzey, Jake(link is external)",R,1721 LHOB,(202) 225-2002,Appropriations|Small Business
Texas,7,"Fletcher, Lizzie(link is external)",D,2004 RHOB,(202) 225-2571,Energy and Commerce
Texas,8,"Luttrell, Morgan(link is external)",R,444 CHOB,(202) 225-4901,Armed Services|Homeland Security|Veterans' Affairs
Texas,9,"Green, Al(link is external)",D,2347 RHOB,(202) 225-7508,Financial Services|Homeland Security
Texas,10,"McCaul, Michael(link is external)",R,2300 RHOB,(202) 225-2401,Foreign Affairs|Homeland Security
Texas,11,"Pfluger, August(link is external)",R,2202 RHOB,(202) 225-3605,Homeland Security|Energy and Commerce
Texas,12,"Goldman, Craig(link is external)",R,1716 LHOB,(202) 225-5071,Energy and Commerce
Texas,13,"Jackson, Ronny(link is external)",R,125 CHOB,(202) 225-3706,Agriculture|Armed Services|Foreign Affairs|Intelligence
Texas,14,"Weber, Randy(link is external)",R,107 CHOB,(202) 225-2831,"Energy and Commerce|Science, Space, and Technology"
Texas,15,"De La Cruz, Monica(link is external)",R,1415 LHOB,(202) 225-9901,Agriculture|Financial Services
Texas,16,"Escobar, Veronica(link is external)",D,2448 RHOB,(202) 225-4831,Appropriations|Budget
Texas,17,"Sessions, Pete(link is external)",R,2204 RHOB,(202) 225-6105,Financial Services|Oversight and Government Reform
Texas,18,"Turner, Sylvester(link is external)- Vacancy",D,1318 LHOB,(202) 225-3816,
Texas,19,"Arrington, Jodey(link is external)",R,1111 LHOB,(202) 225-4005,Budget|Ways and Means
Texas,20,"Castro, Joaquin(link is external)",D,2241 RHOB,(202) 225-3236,Foreign Affairs|Intelligence
Texas,21,"Roy, Chip(link is external)",R,103 CHOB,(202) 225-4236,Budget|Judiciary|Rules
Texas,22,"Nehls, Troy(link is external)",R,1104 LHOB,(202) 225-5951,Judiciary|Transportation and Infrastructure
Texas,23,"Gonzales, Tony(link is external)",R,2239 RHOB,(202) 225-4511,Appropriations|Homeland Security
Texas,24,"Van Duyne, Beth(link is external)",R,1725 LHOB,(202) 225-6605,Small Business|Ways and Means
Texas,25,"Williams, Roger(link is external)",R,2336 RHOB,(202) 225-9896,Financial Services|Small Business
Texas,26,"Gill, Brandon(link is external)",R,1305 LHOB,(202) 225-7772,Budget|Oversight and Government Reform|Judiciary
Texas,27,"Cloud, Michael(link is external)",R,304 CHOB,(202) 225-7742,Appropriations|Oversight and Government Reform
Texas,28,"Cuellar, Henry(link is external)",D,2308 RHOB,(202) 225-1640,Appropriations
Texas,29,"Garcia, Sylvia(link is external)",D,2419 RHOB,(202) 225-1688,Financial Services|Ethics
Texas,30,"Crockett, Jasmine(link is external)",D,1616 LHOB,(202) 225-8885,Oversight and Government Reform|Judiciary
Texas,31,"Carter, John(link is external)",R,2208 RHOB,(202) 225-3864,Appropriations
Texas,32,"Johnson, Julie(link is external)",D,221 CHOB,(202) 225-2231,Foreign Affairs|House Administration|Homeland Security|Joint Committee of Congress on the Library
Texas,33,"Veasey, Marc(link is external)",D,2186 RHOB,(202) 225-9897,Energy and Commerce
Texas,34,"Gonzalez, Vicente(link is external)",D,1201 LHOB,(202) 225-2531,Financial Services
Texas,35,"Casar, Greg(link is external)",D,446 CHOB,(202) 225-5645,Education and Workforce|Oversight and Government Reform
Texas,36,"Babin, Brian(link is external)",R,2236 RHOB,(202) 225-1555,"Transportation and Infrastructure|Science, Space, and Technology"
Texas,37,"Doggett, Lloyd(link is external)",D,2307 RHOB,(202) 225-4865,Budget|Joint Committee on Taxation|Ways and Means
Texas,38,"Hunt, Wesley(link is external)",R,1520 LHOB,(202) 225-5646,Natural Resources|Judiciary
Utah,1,"Moore, Blake(link is external)",R,1131 LHOB,(202) 225-0453,Budget|Ways and Means
Utah,2,"Maloy, Celeste(link is external)",R,249 CHOB,(202) 225-9730,Appropriations|Natural Resources
Utah,3,"Kennedy, Mike(link is external)",R,1626 LHOB,(202) 225-7751,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
Utah,4,"Owens, Burgess(link is external)",R,309 CHOB,(202) 225-3011,Education and Workforce|Transportation and Infrastructure
Vermont,1,"Balint, Becca(link is external)",D,1510 LHOB,(202) 225-4115,Budget|Judiciary
Virginia,1,"Wittman, Robert(link is external)",R,2055 RHOB,(202) 225-4261,Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China
Virginia,2,"Kiggans, Jennifer(link is external)",R,152 CHOB,(202) 225-4215,Armed Services|Natural Resources|Veterans' Affairs
Virginia,3,"Scott, Robert(link is external)",D,2328 RHOB,(202) 225-8351,Budget|Education and Workforce
Virginia,4,"McClellan, Jennifer(link is external)",D,1628 LHOB,(202) 225-6365,Energy and Commerce
Virginia,5,"McGuire, John(link is external)",R,1013 LHOB,(202) 225-4711,Armed Services|Oversight and Government Reform
Virginia,6,"Cline, Ben(link is external)",R,2443 RHOB,(202) 225-5431,Appropriations|Budget|Intelligence|Judiciary
Virginia,7,"Vindman, Eugene(link is external)",D,1005 LHOB,(202) 225-2815,Agriculture|Armed Services
Virginia,8,"Beyer, Donald(link is external)",D,1226 LHOB,(202) 225-4376,Ways and Means
Virginia,9,"Griffith, H.(link is external)",R,2110 RHOB,(202) 225-3861,House Administration|Energy and Commerce|Rules
Virginia,10,"Subramanyam, Suhas(link is external)",D,1009 LHOB,(202) 225-5136,"Oversight and Government Reform|Ethics|Science, Space, and Technology"
Virginia,11,"Connolly, Gerald E.(link is external)- Vacancy",D,2265 RHOB,(202) 225-1492,
Washington,1,"DelBene, Suzan(link is external)",D,2311 RHOB,(202) 225-6311,Ways and Means
Washington,2,"Larsen, Rick(link is external)",D,2163 RHOB,(202) 225-2605,Transportation and Infrastructure
Washington,3,"Perez, Marie(link is external)",D,1431 LHOB,(202) 225-3536,Appropriations
Washington,4,"Newhouse, Dan(link is external)",R,460 CHOB,(202) 225-5816,Agriculture|Appropriations|Select Comm on the Strategic Competition US and China
Washington,5,"Baumgartner, Michael(link is external)",R,124 CHOB,(202) 225-2006,Education and Workforce|Foreign Affairs|Judiciary
Washington,6,"Randall, Emily(link is external)",D,1531 LHOB,(202) 225-5916,Oversight and Government Reform|Natural Resources
Washington,7,"Jayapal, Pramila(link is external)",D,2346 RHOB,(202) 225-3106,Budget|Foreign Affairs|Judiciary
Washington,8,"Schrier, Kim(link is external)",D,1110 LHOB,(202) 225-7761,Energy and Commerce
Washington,9,"Smith, Adam(link is external)",D,2264 RHOB,(202) 225-8901,Armed Services
Washington,10,"Strickland, Marilyn(link is external)",D,1724 LHOB,(202) 225-9740,Armed Services|Transportation and Infrastructure
West Virginia,1,"Miller, Carol(link is external)",R,465 CHOB,(202) 225-3452,Ways and Means
West Virginia,2,"Moore, Riley(link is external)",R,1337 LHOB,(202) 225-2711,Appropriations
Wisconsin,1,"Steil, Bryan(link is external)",R,1526 LHOB,(202) 225-3031,Financial Services|House Administration|Joint Committee of Congress on the Library
Wisconsin,2,"Pocan, Mark(link is external)",D,1026 LHOB,(202) 225-2906,Appropriations
Wisconsin,3,"Van Orden, Derrick(link is external)",R,1513 LHOB,(202) 225-5506,Agriculture|Armed Services|Veterans' Affairs
Wisconsin,4,"Moore, Gwen(link is external)",D,2252 RHOB,(202) 225-4572,Ways and Means
Wisconsin,5,"Fitzgerald, Scott(link is external)",R,2444 RHOB,(202) 225-5101,Financial Services|Judiciary
Wisconsin,6,"Grothman, Glenn(link is external)",R,1211 LHOB,(202) 225-2476,Budget|Education and Workforce|Oversight and Government Reform|Judiciary
Wisconsin,7,"Tiffany, Thomas(link is external)",R,451 CHOB,(202) 225-3365,Natural Resources|Judiciary
Wisconsin,8,"Wied, Tony(link is external)",R,424 CHOB,(202) 225-5665,Agriculture|Transportation and Infrastructure|Small Business
Wyoming,1,"Hageman, Harriet(link is external)",R,1227 LHOB,(202) 225-2311,Natural Resources|Judiciary
