Geography,Geographic Area Name,total,noncitizen,citizen
5001800US1701,"Congressional District 1 (118th Congress), Illinois",751575,28645,722930
5001800US1702,"Congressional District 2 (118th Congress), Illinois",720502,31832,688670
5001800US1703,"Congressional District 3 (118th Congress), Illinois",720148,104089,616059
5001800US1704,"Congressional District 4 (118th Congress), Illinois",704764,114613,590151
5001800US1705,"Congressional District 5 (118th Congress), Illinois",754102,51779,702323
5001800US1706,"Congressional District 6 (118th Congress), Illinois",725829,37219,688610
5001800US1707,"Congressional District 7 (118th Congress), Illinois",732352,73257,659095
5001800US1708,"Congressional District 8 (118th Congress), Illinois",730604,96436,634168
5001800US1709,"Congressional District 9 (118th Congress), Illinois",742949,76449,666500
5001800US1710,"Congressional District 10 (118th Congress), Illinois",746076,80386,665690
5001800US1711,"Congressional District 11 (118th Congress), Illinois",761048,55688,705360
5001800US1712,"Congressional District 12 (118th Congress), Illinois",749426,6673,742753
5001800US1713,"Congressional District 13 (118th Congress), Illinois",725183,27663,697520
5001800US1714,"Congressional District 14 (118th Congress), Illinois",755370,51777,703593
5001800US1715,"Congressional District 15 (118th Congress), Illinois",745893,8254,737639
5001800US1716,"Congressional District 16 (118th Congress), Illinois",755171,16682,738489
5001800US1717,"Congressional District 17 (118th Congress), Illinois",728697,25558,703139
5001800US1801,"Congressional District 1 (118th Congress), Indiana",757933,19125,738808
5001800US1802,"Congressional District 2 (118th Congress), Indiana",750086,31817,718269
5001800US1803,"Congressional District 3 (118th Congress), Indiana",764836,19717,745119
5001800US1804,"Congressional District 4 (118th Congress), Indiana",778072,32453,745619
5001800US1805,"Congressional District 5 (118th Congress), Indiana",781999,24903,757096
5001800US1806,"Congressional District 6 (118th Congress), Indiana",764477,29953,734524
5001800US1807,"Congressional District 7 (118th Congress), Indiana",747195,69499,677696
5001800US1808,"Congressional District 8 (118th Congress), Indiana",756642,10345,746297
5001800US1809,"Congressional District 9 (118th Congress), Indiana",760959,15480,745479
5001800US1901,"Congressional District 1 (118th Congress), Iowa",798244,16702,781542
5001800US1902,"Congressional District 2 (118th Congress), Iowa",791219,16445,774774
5001800US1903,"Congressional District 3 (118th Congress), Iowa",821239,43190,778049
5001800US1904,"Congressional District 4 (118th Congress), Iowa",796302,32771,763531
